Emotion,Text
joy," I'm pretty sure I'll be all right . In fact , I'd be delighted to come over and celebrate your birthday with you . What time are you planning to start ? "
joy,When I had my first boyfriend.
joy, It's very nice . I haven't heard live music in a while . This is fun . 
joy,I came across a friend with whom I had lost touch for a long time.
joy,Your brand new car is so excellent . I like it very much . 
joy,"When I passed the last exam, which I had doudts about."
joy,After my final examination at school I was glad that the examination was over and that I had passed it.
joy, Thank you.You ' re partial . 
joy,"When I received my report card in C.O.U.  I was afraid of obtaining low marks, but they were much higher than expected.  "
joy,"Doisneau is a small , bird-like man with mischievous eyes and a gleeful laugh . "
joy,"Even my father wasn't too pleased about continually having to clean his porch roof , which our residents had covered in droppings and other nest debris . "
joy,Third highest grade in the class and the best answer given for one question (the question was graded by the professor and he indicated he liked my answer).
joy,"Smiling across the room at Laura 's tall , slender figure , she added , ` Besides , everyone in your office was so pleased at your promotion . "
joy," That's ok , keep going , you ’ re moving ahead by leaps and bounds . Watch your dynamics ! Keep your elbows lifted . Remember to stroke the keys , don ’ t pound . That ’ s better ! Remember that as a pianist or any "
joy, Sounds good . What do we need to bring ? 
joy,The delight at being finally united with Joan was tempered by a feeling of discomfort about Ronnie Leahy . 
joy,"I went shopping with my parents - my father payed everything for me, I was very glad."
joy, I'm sure you'll have a good time . 
joy, really ? It sounds interesting . 
joy,When I get a hug from someone I love.
joy,"We were pleased to see the Canadians do so well in the World Cup after they had beaten us over there "" ! "
joy, Great . 
joy,Getting a letter from a friend who did not write for a long time.
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday."
joy,"I was spending the week-end with some friends.  We were waiting for another friend and we went to the meet him at the bus stop, a  woman we met there told us that the coach had already left.  I was afraid that I would not see my friend, but at last we found him."
joy,My friend Jean is very beautiful . 
joy,My class winning against another class in a football match.
joy,A friend of mine travelled very far. I miss her but feel joy too because fer life is taking the right direction as she wants. So I feel joy for her mainly.
joy,When I was selected to a University College of Nursing.
joy,"When I was accepted as a student at the college, not having thought it possible."
joy,"I received a wedding invitation from an ex-flatmate, enclosed was a small note that overcame a lot of the differences that had arisen between us due to the circumstances in which she left the flat."
joy," Well , have a great time ! "
joy,"Ralf the pedlar stood in the centre of the drawbridge , a pleased smile stretching from ear to ear . "
joy,"On the cliff by the sea, the silence and the sudden voice of a bird.(swans of the bay)"
joy,"When, for example, I was in my eleventh school year and I learned I had been classed for the Bulgarian Language and Literature National Olympiad."
joy,They were delighted with the turnout of spectators and the general organisations by local authorities . 
joy,"I am ecstatic about this , it is like winning my first cap not my 23rd . "" "
joy,Did well in an exam just before my father's birthday: the best present I can give to my father.
joy,Receiving understanding from within self of a subject I had previously wished to understand better.
joy,The day the Real Madrid team of basket ball qualified for the final at Athens.
joy,My joy knew no bounds when I was selected for a job even before having finished my studies.
joy," It's interesting , I like being an editor . "
joy," Of course , I like . "
joy, Let me see . How about 6:30 at the gate of the club ? 
joy,When a student of mine (at music) performed and played remarkably well.
joy,"In the end , the poems must be read as expressions of sheer delight in friendship . "
joy,Listening to the opening bars of Tchaikovsdy's symphony No.2 fourth movement at my sister's wedding.
joy, May I ask you for a dance ? 
joy,When my present boyfriend asked me initially to go out with him I had waited a long time for this to occur.
joy,"I ’ m so excited , mother . Oh , a new baby ! "
joy,"Perhaps only she knows the journey he has made , from the cocky Jack-the-lad who neglected the discipline of academic study for the raw excitement of Left-wing politics to the measured politician with an answer for everyone . "
joy,I stopped working (had a boring job).
joy,"When I was back home after a long time, meeting beloved people and close friends."
joy,Paddington grew more and more excited as he listened . 
joy,"I felt happy at the end of a 10 day student camp.  We had shared our hopes and aspirations and in the open situation so generated, we had made strong frienships and experienced our own worth as well.  "
joy, I understand . 
joy,"During my Summer vacations I planned a carnival for the community youth center with a few other volunteers.  I was the head of the organizors and we spent over a month planning it.  During this period we got to know and understood each other.  We discovered each others potential and we planned many interesting things for the carnival.  The day of the carnival everything was bright, the programmes went well and the attendants enjoyed it.  I felt extremely excited about it."
joy,The joy came when I first proposed a girl at Secondary School.
joy,"During my first week in Graz I met a girl who I had got to know in the train from Amsterdam to Graz. Although I had considered her very sympathetic, we had seperated without changing our adresses."
joy," Well , yes . Several colleagues from different departments helped me with that . They are very supportive . I consulted an economic expert last week . He was very kind to give valuable suggestions . "
joy, I'm from Chicago . 
joy,Getting back with my boyfriend after a year away - apart.
joy,"I was elated , excited , in another world . "
joy," OK , I'll meet you there . "
joy,One night I had a very good conversation with two friends. I then realized how worthy they were for me and how happy I was to have them as friends.
joy,This man introduced me to an agent who didn't look all that excited to see me and was only obliging a friend . 
joy,When I got a small present form a person I like very much.
joy,Now that he was committed to a course of action he felt exhilarated . 
joy,"When, after a long time of searching I got my first job."
joy,When I unexpectedly received birthday greetings from a person I like.
joy,"She gave him a quick amused glance , her head leaning back against the faded red of the alcove seat . "
joy, Take care and give my best to you parents . 
joy,"When I worked as an \au-pair-girl\"" in London, I received a call from a good friend who told me that she was in London too and wanted to see me. I was very glad - after that call and especially when I saw her."""
joy," That ’ s great , because it uses natural materials rather than ones that scientists make themselves . I prefer natural remedies to man-made ones . "
joy, You often like comparing children with their parents . 
joy,I had lost the excitement of the first Ramble to the Trossachs which had all been new territory . 
joy,"I was in the living room at home with an ex-boyfriend, it was nearly a year that we had separated, during the talk he began to remember our courting and gave me a long kiss."
joy," Oh , come on ! Failure is the mother of success . Don ’ t lose heart . I'm sure you'll succeed . "
joy,Never before had Bodmin seen so many faces  and so many happy faces all at one time ! 
joy,"When I was at school, no one thought I could pass my MCE so at the end of the year my name was announced on the radio that I had passed. I was the happiest person."
joy,"A very good friend of mine had been away for three months. When we met again, we ran up to each other and embraced."
joy,When I learnt that I had been accepted at university.
joy,"I sensed a strong feeling of joy when in the plant, at my working place, I got a message that I was admitted as full time student at the Higher Agricultural Institute."
joy, I'll pick you up around 8: 00 . 
joy,"For my part , I feel elated and close to tears . "
joy,"It was about a fortnight ago, I was declared successful in the U.G.C exam this year (only four in Bombay succeeded).  My joy knew no bounds."
joy," Ok , let's go . "
joy," Oh , thanks a lot . "
joy, Very well . If I leave I'll miss you . 
joy, I am feeling happy
joy,When my boyfriend and I made up.
joy,Bulgaria won a football match against France.
joy, I am feeling super
joy, You have a perfect taste ! 
joy,At the moment when I heard the result of an examination and it proved that I succeeded the second year of my study.
joy,"When a girl I wanted very much, said \yes\"" and fell in love with  me."""
joy,"Bang on cue , she strode out on to the stage , feeling none of the terror that had crippled her last performance , the excited cheers of the children bringing a beaming smile to her face . "
joy,` Lee and Ian have shown they have what it takes to earn first-year professional terms and I 'm delighted they 've agreed to join us . 
joy,"It is true that the wonderful advance of our people  has transformed the wilderness into a home where men and women can live comfortably , elegantly , happily , if they are of contented disposition "
joy, Thanks for the invitation . I will ! 
joy," Maybe not , thank you all the same then . "
joy,"` He didn't seem too delighted to see you , "" said Betty . "
joy, Come over and visit when you have time . 
joy, Perfect . It really hits the spot . 
joy," Yeah , I am very impressed with Tom Hanks ' performance in the movie . "
joy,When I talk to my friends.
joy,When I was selected to start Form I at Chilumba Secondary School out of the 100 pupils I was among the 4 who were successful. Family History showed that I had done better than all my brothers who had passed after repeating for several times.
joy,"When, to my surprise, I got to know about having got \very good\"" high school graduation marks."""
joy,I had a little cat which was very sick. As I liked it very much I went to a veterinary with it. He told me how to tend it and it really recovered its health. Everybody said that I had saved its life.
joy," Yeah , oh my god ! It's still there . We have our first date right on there . "
joy, Certainly . 
joy,When I got my results - I had passed the form III exams.  I had not expected to do so well.
joy," We've never sold this much before , our growth this year has been phenomenal . We have captured 8 % of the market , up from last year by 120 % . Our strategy is working ! "
joy," Oh , great ! I hope I can spend this Spring Festival with you here in Beijing . "
joy,I went home and visited with my family and friends.
joy, I know what you mean . I could use a vacation myself . 
joy,"Of all the journalists who made the pilgrimage to Dovercourt , the team from the BBC caused the greatest excitement . "
joy,Going to a concert.
joy,Joy for me is when all my family gather around home for special occasions as Christmas etc. It really gives me joy to see my family and relatives and to observe natures productivity process which have been going on for centuries.
joy, Ok . See you tomorrow . 
joy,When in an economic crisis I got an unexpected sum of money.
joy,When I was sick my husband bought me a piece of cake.
joy,"I went to fetch my girl-friend at the station. When the train arrived and I saw her descending and running up to me, I felt glad."
joy,"This happened when I was in the 10th standard.  The paddy crops were in a bad shape as it had not rained and there was no water in the well, so I was in a very sad mood.  I came to the conclusion that I would ignore the paddy field, just 12 hours after this it rained for one hour.  This was a very tense time and the rain brought me tremendous pleasure."
joy,I went to see the entrance examination results at university.  I rejoyced at my success.
joy,Our amusement at his false assumption seemed to ease the tension between us . 
joy,I was admitted to the University and a niece was born to me.
joy,Aticle published.
joy, OK . I'll try a Pinto . I want to rent a car for one week . 
joy,"Elaine exclaimed , her delight evident as she entered the open-plan living- and dining-room decorated in a fresh lemon and blue fabric which Christina had chosen . "
joy, I heard through the grapevine that your getting married . 
joy, Thanks ! These are beautiful . You shouldn't have ! 
joy,"When I knew that there were, at last, no problems in making a journey that I had been wanting to make for a long time."
joy,I felt joy when my two twin sisters were born.
joy,The day some friends of mine and I decided to go to Galicia on holiday.
joy,The computer at school had left out my name along with four others and I had no rights for one year.  So I was happy to find my name on the medical schhol list.
joy,A look of intense amusement crossed Catherine 's face . 
joy,"Re was at first pleased but soon realised that Hathor 's delight in killing might lead to the destruction of all mankind , which he had not intended . "
joy, I felt as if I had been in a different world . 
joy,"Hello , let me introduce myself . I'm your new neighbor . My name is Andy . "
joy,"There have been some most tempting glimpses of it when you have become excited about a design or angry with yourself for a failure to meet your own high standards . "" "
joy,The pretty young undergraduate felt elated . 
joy,"` Yes , yes , I did , "" she told him , feeling ridiculously pleased that he was clearly enjoying her first attempt at baking a cake . "
joy, Yes . Would you like to come here later to have a coffee ? Bring all your family . 
joy, It's hard to say . It depends . But I love the waltz . 
joy,"When I got my first unknown compound while doing my M.Sc research, I was very happy.  This is because my research was based on this type of reactions and compounds."
joy,"I was responsible for Community Programme for the last 18 months of its life , so I 'm delighted to be involved in introducing Community Action . "
joy, We can do that if you like . Maybe next weekend . 
joy,"Winning a race that I had been training for, for many weeks. (Running Race)."
joy,When I got a letter from home.
joy, Take good care of yourself . 
joy, There's no secret at all . The only thing for you to do is to practice more . You will succeed . 
joy,An invitation to spend 5 days at the seaside with all expenses paid.
joy,When I learned I was admitted to study what I wanted most - floriculture (this is a narrow specialization from the general one).
joy,I was very happy when I found out that I had passed with flying colours and that I had made it to the university.
joy,"When I hooked a girl in Kitwe.  She was very beautiful for my standards, a rare bird of this kind accepted me as a boyfriend."
joy, At the gate of the park . 
joy,Hearing Fran Wilde introduce the Bill.
joy,When I heard that I had got the best result in school and would be definately selected to the university of Zambia.
joy,"A drop of scotch during occasional periods of self-criticism helped him to become happy with himself , but most of the time he was happy anyway . "
joy,"Well , it was nice meeting you . "
joy,Blank.
joy,When my 6 month old son is happy and well.
joy,When it appeared that I was not pregnant when I was several weeks overtime.
joy,I felt joy when I came to know Christ.  That is when I became a Christian.
joy,I suppose I am happy being so ` tiny' ; it means I am able to surprise people with what is generally seen as my confident and outgoing personality . 
joy,"I 'm really happy in the group now . "" "
joy,When I was in the sauna bath.
joy," Yes , I hope we meet again . "
joy,Succeeding in helping others.
joy, Let's enter it ! 
joy,"I was travelling in the South of Brasil, near the end of the year. I was well settled with 3 friends. At the evening of 31 M., somebody, also with us, took from his purse pints of all colours, and the 4 of us, and other friends, that were at the same beach, painted each other and we went to the beach with champagne."
joy,I noticed that Meryl Streep and I had similar cheekbones and jaw structure.
joy, I'm sure he'll love the idea . Just throw yourself into it and you'll enjoy it ! 
joy,Tremayne was pink with gratification . 
joy,When my brothers had passed all of their exams and were able to  graduate from their courses.
joy, This is going to be a major production for you ! 
joy,You look pale recently . 
joy,Good news about a sick relative.
joy,Congratulations ! Mr . Stuart ! You won the city marathon . 
joy,"Went to a movie with a date, walked on the beach (in Alameda) spent some time afterwards in her apt."
joy,I was called and invited to have a talk about a job I wanted to have.
joy," Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment . "
joy,"I was very glad when I learned I was a student already. I heard about it over the phone, I didn't believe it at first."
joy,When I passed a very important exam.
joy, I can't agree more . 
joy," Maybe it's a good things . If you don't have to go to Hong Kong , you can take a break and take things easy for a while . "
joy,When I was informed that a short story I had written had been accepted for publication.
joy,I unexpectedly got a present from my father.
joy, It must be old . 
joy,He seemed happy with this . 
joy, Any time . I'm just glad I could help . 
joy,I remember being highly amused at his rendering of a young rook 's cry whilst gobbling a worm : it was perfectly true to nature  . 
joy, Then does it go well with my sweater ? 
joy,"When I got home from my job, I found a letter from the university telling me that I had been admitted to begin my studies."
joy,When my son returned from mountaineering - healthy in body and soul.
joy,The Lord is my light and salvation - Whom shall I fear? fear is Not an option! I am finally delighted and happy
joy, You'd like it . 
joy, I think that might work for me as well . 
joy,"And suddenly they found themselves talking the sort of language that all of us can understand , and they got quite excited about this . "
joy,"Temperamental differences operate once more with this new trio of junior heroes , whose elders , the three lieutenants , regard their pranks with mild amusement . "
joy,But now she looked excited . 
joy,"` I 'm delighted you 're so pleased to see me . "" "
joy,"Applause rang out , and she twirled around to acknowledge it in demure delight , clapping the barman -- and then being crushed against the ample bosom of the barman 's wife . "
joy,"When she was ecstatic , and she was often ecstatic , ecstasy flew from her face like the sun from a mirror . "
joy,"Pleasure can be no more than a gourmet 's appreciation for delicacies , whereas a happy person can readily settle for a much simpler diet . "
joy,Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).
joy,A quarrel was followed by the decision of leaving a person close to me. Several days later my regret was great. I was beside myself. Quite unexpectedly he came and the conflict was calmly solved. I was glad at the possibility to be with him.
joy,After much trouble getting together in the first place my boyfriend and I celebrated our first anniversary.
joy,"Blake says how pleased he is with the firm 's improved performance , acknowledging the considerable efforts and progress it has made . "
joy, Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped ) 
joy,Then in his foolish exhilaration he had leaped into a tree and spotted them with his binoculars . 
joy,"He laughed , showing his white , sharp teeth , pleased with his joke . "
joy,When I found out that I can travel with my best friend.
joy,"` We are delighted to help the museum extend its collection , "" said Mr Watson . "
joy, Okay . Thanks for your help . 
joy, No.thanks . I'm full . 
joy,I watched a football match with my old friend.  The performance of the team was very good and the team members were full of spirit.  The match was excellent and every time a goal was scored I felt excited.
joy," August bride . How nice ! By the way , who is going to be the matron of honor ? "
joy, I still like the olive one best . There's a tailor here who can take up the sleeves for you . 
joy,A friend of mine suggested that I become a film extra.  The idea seemed very funny to me and my reaction seemed rather outlandish to the others.
joy,"Occurs frequently. A recent experience: when going out with many friends, nice music, after the examinations, I felt so happy I could have embraced everybody."
joy,"For a few days I felt very miserable, distressed and listless, with crying fits. When this was over I felt very happy, although there was no special reason."
joy," Well , I like collecting matchbox ! I'm not sure if that counts , though . "
joy,I've been chosen to plan the next family reunion . 
joy,"Audiences were thrilled , box office cash registers jingled and careers were made . "
joy,After having considered it for hours I was able to overcome my scruples and to call a friend with whom I had fallen in love. I realized that my decision was right - and was very glad.
joy,"This happened when I went to check my first year results, I had  thought that I would fail and I found that I had a clear pass in all my courses."
joy, Look after yourself . Bye . 
joy,When I won my car. 
joy," Sounds good , when ? "
joy,I was admited to the Chinese university of Hong Kong.  The day the results were announced I looked in the newspaper and saw my candidature number.
joy," Good , happy birthday to you ! "
joy," Sure , I will . Thank you for inviting me . "
joy,He broke off as Jim Miller let go a Indian whoop of relief and delighted grins spread across the faces of everyone in the group . 
joy,Going to a friend's wedding and seeing many of my old friends whom I had known before I moved to a new district five years previously.
joy,"Welcome to my birthday party , I am so happy you can come . "
joy,"To tell you the truth , I wasn't at all pleased about Russell sitting in the same coach with us . "
joy,I started a new branch of studies after having failed a former one.  When I got back my exam papers I was very happy to know that I almost had full marks.
joy, But you agreed to go out with me at last . 
joy, The black ball has to be the final ball in the pockets . 
joy,My friend told me he really likes me.
joy, Were you ? your performance was excellent . 
joy, Sure . Now you are talking . 
joy," Well , imagine that ! How old are you ? "
joy,I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing.
joy,It was the weekend of my homecoming. I saw my sister for the first time in 3 months. She's my best friend and extremely close.
joy,One of the greatest joiy was when I succeded in acquiring a motorcycle through my own efforts.
joy,Returning to school and rejoining my girlfriend after 3 months of separation from summer.
joy,"Mr Mitterrand appears so delighted with the ultra courteous Edouard Balladur , that some Socialists wonder whether he has at last found the prime minister of his dreams . "
joy,When a cousin of mine was discharged from the hospital after       a long illness.  I had thought that this illness would never end.
joy, I ’ m sure I ’ ll like it here . 
joy,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
joy,"The day I got to know that I would get a shared dwelling with my boyfriend.  My parents place was getting a little crowded with my growing bother wanting a room to himself.  I first felt doubt, then joy, but also sadness.  The feeling of joy was the strongest."
joy,Getting into this university.
joy,"When I got 21/30 points in an exam of statistics. The result was unexpected and it made me realize that statistics do not surpass my abilities, as I have sometimes thought."
joy,"When I received the result slip of the higher level examination (an university entrance exam) and saw that I had a very good possibility of being accepted into the university, I felt very excited."
joy,"I was going to my village, after having been rather oppressed in Madrid. "
joy,"I was \best man\"" at my brother's wedding a year ago."""
joy,Minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes . 
joy, How about a party at home ? That way we can get together and celebrate it . 
